iid,spend_online,spend_retail,age,white,college,male,hh_inc
199,34.975,0,41,.6403464,.7028232,0,148.603
2298,220.135,0,41,.2723192,.2530814,0,25.469
9594,39.95,0,44,.842867,.5984784,0,84.702
9542,34.975,480.355,40,.9354839,.5439673,0,83.125
1163,50.4,0,32,.9256757,.6632826,0,132.813
6013,0,46,40,1,.4557109,0,128.558
9751,49,0,41,.2272203,.5016077,0,64.306
6817,19.975,264,28,.7252946,.376989,0,61.83
20,0,92,47,.9808348,.5246835,0,90.582
2454,24.975,0,43,.7664399,.6479751,1,93
760,0,37.975,22,.7738826,.7322835,1,152.115
5310,39.925,0,19,.9788779,.4471058,0,105.441
10588,0,63.975,59,.4449133,.3867325,0,98.261
8985,0,58.5,26,.355181,.4133574,0,40.343
8973,131,0,19,.98753,.4399171,0,89.821
4707,0,4.975,44,.7299509,.5039164,0,115.804
8977,133.9,391.975,40,.8729282,.4858156,0,70.096
7960,0,9.975,52,.9682457,.6759657,0,121.25
7965,0,118,45,.858209,.6329114,0,106.111
4019,39.95,0,32,.929646,.8107383,0,169.196
6789,0,53.975,27,.7422829,.6735426,0,50.805
1045,24.975,34.925,36,.7847222,.0678354,0,16.22
3306,0,39.95,43,.7742947,.5811808,0,30.208
8183,0,49,59,.6378282,.6685864,0,157.692
8378,0,196,21,.9587209,.2983129,0,86.917
1382,0,62.975,46,.8031991,.7002012,0,169.531
9072,0,34.975,54,.6950426,.5471917,0,54.984
6162,24.975,155.975,44,.7312253,.4989474,0,118.654
7930,0,78,45,.7933131,.8063806,0,173.015
8295,0,107.9,45,.8031991,.7002012,0,169.531
2499,0,237,40,.7790799,.8338369,0,155.027
1386,102.95,1367.825,40,.4844961,.1444867,0,38.534
9735,21,0,42,.009622,.0252845,0,30.682
2138,35.93,146.9,43,.6093969,.5964912,0,91.875
5804,34.975,0,35,.6555184,.6464258,0,101.016
2397,83.975,298.975,43,.970421,.1321429,0,50.568
9624,29,0,55,1,.3383085,0,76.406
5180,107.975,0,36,.8890877,.4491682,0,26.477
5378,113,15.975,19,.9306147,.8239487,0,109.957
387,479,377,34,.9427374,.5036101,0,125.875
8861,0,29,35,.8406736,.7744154,0,57.102
4637,0,14.975,36,.9507603,.6916335,0,57.737
8433,0,19.975,54,.8256334,.3143619,0,80.063
961,412.44,0,39,.297619,.2976744,0,47.143
881,0,19.975,26,.7863706,.9003021,0,101.25
6568,145,0,47,1,.7702703,0,75.865
10086,118.975,0,40,.661191,.7891026,0,106.635
3479,512.95,0,31,.9279279,.4487285,0,56.548
2733,59.95,0,37,.7513812,.8567932,0,102.411
3743,0,54,23,.5705357,.1628743,0,52.742
931,0,39,22,.8880847,.452381,0,7.83
6701,0,176,46,.5412844,.5512083,0,81.806
