shopper_id,trip_id,choice,price.heinz,price.hunts,price.delmonte,price.stb,southeast
1,1,heinz,1.19,1.39,1.49,0.89,1
1,2,heinz,0.99,1.36,1.39,0.95,1
1,3,hunts,1.46,1.43,1.49,0.99,1
1,4,hunts,1.46,1.43,1.45,0.99,1
1,5,stb,1.46,1.36,1.39,0.95,1
2,1,heinz,0.99,1.36,1.47,0.95,0
2,2,heinz,1.19,1.44,1.47,0.95,0
2,3,heinz,1.19,1.53,1.47,0.95,0
3,1,stb,1.47,1.43,1.45,0.99,0
4,1,heinz,0.79,1.43,1.45,0.99,0
4,2,heinz,1.19,1.39,1.49,0.99,0
4,3,stb,1.19,1.29,1.39,0.95,0
5,1,heinz,1.39,1.39,1.49,0.89,0
6,1,delmonte,1.39,0.89,1.39,0.95,0
7,1,heinz,1.39,0.89,1.39,0.95,0
8,1,heinz,0.99,1.49,1.49,0.89,0
8,2,heinz,1.19,1.36,1.39,0.95,0
9,1,stb,1.39,0.89,1.49,0.89,0
10,1,stb,1.39,1.39,1.49,0.89,0
10,2,stb,0.99,1.43,1.46,0.79,0
11,1,hunts,1.46,1.49,1.49,0.95,1
11,2,hunts,1.39,0.89,1.39,0.89,1
11,3,hunts,1.39,0.79,1.39,0.95,1
11,4,hunts,1.39,1.36,1.39,0.95,1
12,1,heinz,0.99,1.53,1.49,0.95,0
13,1,heinz,1.19,1.39,1.49,0.89,0
14,1,heinz,0.99,1.53,1.47,0.95,0
14,2,delmonte,1.46,1.43,0.89,0.99,0
14,3,stb,1.19,1.39,1.49,0.89,0
15,1,heinz,0.99,1.39,1.49,0.89,0
16,1,hunts,0.99,1.29,1.39,0.95,1
17,1,hunts,1.19,0.89,1.49,0.89,1
18,1,heinz,1.19,1.29,1.39,0.95,0
19,1,heinz,1.19,1.49,1.39,0.89,0
19,2,hunts,1.46,1.19,1.39,0.79,0
20,1,hunts,1.39,0.89,1.39,0.95,0
20,2,delmonte,1.39,1.39,1.49,0.99,0
21,1,heinz,1.46,1.43,1.45,0.99,0
22,1,heinz,1.19,1.36,1.49,0.95,0
23,1,heinz,1.19,1.39,1.49,0.89,0
23,2,hunts,1.19,1.49,1.39,0.89,0
24,1,heinz,0.99,1.39,1.49,0.89,0
24,2,heinz,0.99,1.36,1.39,0.95,0
25,1,stb,0.99,1.39,1.49,0.89,0
26,1,heinz,1.39,1.39,1.49,0.89,0
26,2,heinz,1.39,0.79,1.39,0.95,0
26,3,heinz,0.99,1.36,1.39,0.95,0
26,4,heinz,1.46,1.43,1.46,0.79,0
27,1,heinz,1.19,1.39,1.49,0.89,0
28,1,hunts,0.99,1.49,1.39,0.89,1
28,2,hunts,1.46,1.19,1.49,0.79,1
29,1,heinz,1.19,1.36,1.39,0.95,1
29,2,hunts,1.46,1.29,1.49,0.95,1
29,3,hunts,1.46,1.19,1.46,0.95,1
29,4,hunts,1.19,1.53,1.47,0.95,1
29,5,stb,1.46,1.43,1.45,0.99,1
30,1,stb,1.39,1.39,1.49,0.89,0
31,1,heinz,0.99,1.36,1.49,0.95,1
31,2,hunts,1.19,1.29,1.39,0.95,1
31,3,stb,1.19,1.39,1.49,0.89,1
32,1,heinz,0.99,1.36,1.49,0.95,0
32,2,heinz,1.19,1.53,1.49,0.95,0
33,1,heinz,1.39,0.89,1.39,0.95,0
33,2,heinz,1.19,1.36,1.39,0.95,0
33,3,heinz,1.39,1.39,1.45,0.79,0
34,1,hunts,1.46,1.43,1.45,0.99,1
34,2,stb,1.46,1.53,1.45,0.75,1
35,1,heinz,1.19,1.29,1.49,0.95,0
36,1,stb,1.46,1.43,1.45,0.99,0
36,2,stb,1.46,1.43,1.45,0.99,0
37,1,heinz,1.39,0.89,1.39,0.89,0
37,2,hunts,1.47,1.43,1.49,0.99,0
38,1,heinz,1.46,1.19,1.39,0.79,0
39,1,heinz,1.19,1.39,1.49,0.89,0
39,2,heinz,1.39,1.36,1.49,0.95,0
39,3,heinz,1.39,1.36,1.39,0.95,0
40,1,heinz,1.39,1.36,1.39,0.95,0
40,2,heinz,1.46,1.53,1.49,0.95,0
40,3,heinz,0.99,1.53,1.49,0.95,0
40,4,hunts,1.46,1.53,1.49,0.95,0
41,1,hunts,1.39,0.89,1.39,0.95,1
42,1,heinz,0.99,1.36,1.49,0.95,0
42,2,heinz,1.19,1.53,1.49,0.95,0
42,3,stb,1.46,1.19,1.49,0.79,0
42,4,stb,1.46,1.43,1.49,0.75,0
42,5,stb,1.46,1.43,1.49,0.75,0
43,1,heinz,0.99,1.39,1.49,0.89,0
43,2,delmonte,1.39,1.39,1.49,0.89,0
44,1,heinz,1.39,1.39,0.99,0.79,0
45,1,heinz,1.19,1.19,1.49,0.95,0
45,2,heinz,0.99,1.53,1.49,0.95,0
45,3,heinz,0.99,1.36,1.39,0.95,0
45,4,hunts,1.39,0.79,1.39,0.95,0
46,1,heinz,1.19,1.19,1.46,0.95,0
46,2,heinz,1.46,1.53,1.46,0.79,0
46,3,heinz,0.99,1.36,1.47,0.95,0
47,1,delmonte,1.39,1.36,1.39,0.95,0
48,1,heinz,1.46,1.19,1.46,0.79,0
48,2,heinz,0.99,1.53,1.46,0.95,0
48,3,heinz,0.99,1.43,1.46,0.99,0
48,4,heinz,0.99,1.49,1.49,0.89,0
48,5,heinz,1.39,1.39,1.49,0.89,0
48,6,heinz,1.19,1.29,1.39,0.95,0
48,7,hunts,1.39,0.79,1.39,0.95,0
49,1,heinz,1.19,1.39,1.49,0.89,0
50,1,hunts,1.46,1.43,1.49,0.99,1
50,2,stb,0.99,1.43,1.45,0.99,1
51,1,heinz,1.19,1.36,1.39,0.95,0
51,2,heinz,1.47,1.43,1.45,0.99,0
51,3,hunts,1.19,1.19,1.46,0.95,0
51,4,hunts,1.46,1.53,1.49,0.95,0
51,5,delmonte,0.99,1.39,1.49,0.89,0
52,1,heinz,1.39,0.89,1.39,0.95,0
52,2,heinz,1.19,1.39,1.49,0.89,0
52,3,heinz,1.19,1.49,1.49,0.89,0
53,1,heinz,1.46,1.43,0.99,0.79,0
53,2,hunts,1.46,1.43,0.99,0.79,0
54,1,heinz,1.19,1.39,1.49,0.89,1
54,2,heinz,1.46,1.53,1.46,0.95,1
54,3,hunts,1.19,1.36,1.49,0.95,1
54,4,hunts,1.46,1.36,1.49,0.95,1
54,5,hunts,1.19,1.49,1.49,0.95,1
54,6,hunts,1.19,1.49,1.49,0.95,1
54,7,hunts,1.46,1.43,1.46,0.79,1
54,8,hunts,1.46,1.43,1.46,0.75,1
54,9,delmonte,1.39,1.39,0.99,0.79,1
55,1,heinz,0.99,1.36,1.39,0.95,0
55,2,heinz,1.19,1.29,1.39,0.95,0
55,3,heinz,1.19,1.29,1.39,0.95,0
55,4,heinz,0.99,1.19,1.39,0.95,0
55,5,hunts,1.46,1.29,1.39,0.95,0
55,6,delmonte,1.19,1.36,1.39,0.95,0
56,1,heinz,1.19,1.49,1.49,0.95,0
57,1,heinz,1.39,1.39,1.49,0.89,0
58,1,stb,0.99,1.36,1.49,0.95,0
